sampling_rate_hz,lane_rate,adc_op_mode,decimation_factor,repeat_factor,ddc_mode,L,M,F,S,N,Status,mpl
1.5,7.5,0,1,1,0,4,1,1,2,16,fail,0.25
1.5,7.5,0,1,1,0,4,1,2,4,16,fail,0.25
1.5,15,1,1,1,0,4,1,1,2,16,fail,0.25
1.5,15,1,1,1,0,4,1,2,4,16,fail,0.25
1.5,7.5,1,2,1,1,4,1,1,2,16,fail,0.25
1.5,7.5,1,2,1,1,4,1,2,4,16,fail,0.25
1.5,15,0,1,1,0,4,2,1,1,16,fail,0.5
1.5,15,0,1,1,0,4,2,2,2,16,fail,0.5
1.5,15,0,1,1,0,4,2,4,4,16,fail,0.5
1.5,7.5,0,2,1,1,4,2,1,1,16,fail,0.5
1.5,7.5,0,2,1,1,4,2,2,2,16,fail,0.5
1.5,7.5,0,2,1,1,4,2,4,4,16,fail,0.5
1.5,5,0,3,1,1,4,2,1,1,16,fail,0.5
1.5,5,0,3,1,1,4,2,2,2,16,fail,0.5
1.5,5,0,3,1,1,4,2,4,4,16,fail,0.5
1.5,15,1,2,1,1,4,2,1,1,16,fail,0.5
1.5,15,1,2,1,1,4,2,2,2,16,fail,0.5
1.5,15,1,2,1,1,4,2,4,4,16,fail,0.5
1.5,7.5,1,4,1,1,4,2,1,1,16,fail,0.5
1.5,7.5,1,4,1,1,4,2,2,2,16,fail,0.5
1.5,7.5,1,4,1,1,4,2,4,4,16,fail,0.5
1.5,7.5,1,8,2,1,4,2,1,1,16,fail,0.5
1.5,7.5,1,8,2,1,4,2,2,2,16,fail,0.5
1.5,7.5,1,8,2,1,4,2,4,4,16,fail,0.5
1.5,7.5,1,16,4,1,4,2,1,1,16,fail,0.5
1.5,7.5,1,16,4,1,4,2,2,2,16,fail,0.5
1.5,7.5,1,16,4,1,4,2,4,4,16,fail,0.5
1.5,7.5,1,32,8,1,4,2,1,1,16,fail,0.5
1.5,7.5,1,32,8,1,4,2,2,2,16,fail,0.5
1.5,7.5,1,32,8,1,4,2,4,4,16,fail,0.5
1.5,7.5,1,64,16,1,4,2,1,1,16,fail,0.5
1.5,7.5,1,64,16,1,4,2,2,2,16,fail,0.5
1.5,7.5,1,64,16,1,4,2,4,4,16,fail,0.5
1.5,7.5,1,128,32,1,4,2,1,1,16,fail,0.5
1.5,7.5,1,128,32,1,4,2,2,2,16,fail,0.5
1.5,7.5,1,128,32,1,4,2,4,4,16,fail,0.5
1.5,7.5,1,256,64,1,4,2,1,1,16,fail,0.5
1.5,7.5,1,256,64,1,4,2,2,2,16,fail,0.5
1.5,7.5,1,256,64,1,4,2,4,4,16,fail,0.5
1.5,7.5,1,512,128,1,4,2,1,1,16,fail,0.5
1.5,7.5,1,512,128,1,4,2,2,2,16,fail,0.5
1.5,7.5,1,512,128,1,4,2,4,4,16,fail,0.5
